step,i,j
1,1,1
1,1,2
1,1,3
2,0,2
2,1,2
2,2,2
3,1,1
3,1,2
3,1,3
4,0,2
4,1,2
4,2,2
5,1,1
5,1,2
5,1,3
6,0,2
6,1,2
6,2,2
7,1,1
7,1,2
7,1,3
8,0,2
8,1,2
8,2,2
9,1,1
9,1,2
9,1,3
10,0,2
10,1,2
10,2,2
11,1,1
11,1,2
11,1,3
12,0,2
12,1,2
12,2,2
13,1,1
13,1,2
13,1,3
14,0,2
14,1,2
14,2,2
15,1,1
15,1,2
15,1,3
16,0,2
16,1,2
16,2,2
17,1,1
17,1,2
17,1,3
18,0,2
18,1,2
18,2,2
19,1,1
19,1,2
19,1,3
20,0,2
20,1,2
20,2,2
21,1,1
21,1,2
21,1,3
22,0,2
22,1,2
22,2,2
23,1,1
23,1,2
23,1,3
24,0,2
24,1,2
24,2,2
25,1,1
25,1,2
25,1,3
26,0,2
26,1,2
26,2,2
27,1,1
27,1,2
27,1,3
28,0,2
28,1,2
28,2,2
29,1,1
29,1,2
29,1,3
30,0,2
30,1,2
30,2,2
31,1,1
31,1,2
31,1,3
32,0,2
32,1,2
32,2,2
33,1,1
33,1,2
33,1,3
34,0,2
34,1,2
34,2,2
35,1,1
35,1,2
35,1,3
36,0,2
36,1,2
36,2,2
37,1,1
37,1,2
37,1,3
38,0,2
38,1,2
38,2,2
39,1,1
39,1,2
39,1,3
40,0,2
40,1,2
40,2,2
41,1,1
41,1,2
41,1,3
42,0,2
42,1,2
42,2,2
43,1,1
43,1,2
43,1,3
44,0,2
44,1,2
44,2,2
45,1,1
45,1,2
45,1,3
46,0,2
46,1,2
46,2,2
47,1,1
47,1,2
47,1,3
48,0,2
48,1,2
48,2,2
49,1,1
49,1,2
49,1,3
50,0,2
50,1,2
50,2,2
51,1,1
51,1,2
51,1,3
52,0,2
52,1,2
52,2,2
53,1,1
53,1,2
53,1,3
54,0,2
54,1,2
54,2,2
55,1,1
55,1,2
55,1,3
56,0,2
56,1,2
56,2,2
57,1,1
57,1,2
57,1,3
58,0,2
58,1,2
58,2,2
59,1,1
59,1,2
59,1,3
60,0,2
60,1,2
60,2,2
61,1,1
61,1,2
61,1,3
62,0,2
62,1,2
62,2,2
63,1,1
63,1,2
63,1,3
64,0,2
64,1,2
64,2,2
65,1,1
65,1,2
65,1,3
66,0,2
66,1,2
66,2,2
67,1,1
67,1,2
67,1,3
68,0,2
68,1,2
68,2,2
69,1,1
69,1,2
69,1,3
70,0,2
70,1,2
70,2,2
71,1,1
71,1,2
71,1,3
72,0,2
72,1,2
72,2,2
73,1,1
73,1,2
73,1,3
74,0,2
74,1,2
74,2,2
75,1,1
75,1,2
75,1,3
76,0,2
76,1,2
76,2,2
77,1,1
77,1,2
77,1,3
78,0,2
78,1,2
78,2,2
79,1,1
79,1,2
79,1,3
80,0,2
80,1,2
80,2,2
81,1,1
81,1,2
81,1,3
82,0,2
82,1,2
82,2,2
83,1,1
83,1,2
83,1,3
84,0,2
84,1,2
84,2,2
85,1,1
85,1,2
85,1,3
86,0,2
86,1,2
86,2,2
87,1,1
87,1,2
87,1,3
88,0,2
88,1,2
88,2,2
89,1,1
89,1,2
89,1,3
90,0,2
90,1,2
90,2,2
91,1,1
91,1,2
91,1,3
92,0,2
92,1,2
92,2,2
93,1,1
93,1,2
93,1,3
94,0,2
94,1,2
94,2,2
95,1,1
95,1,2
95,1,3
96,0,2
96,1,2
96,2,2
97,1,1
97,1,2
97,1,3
98,0,2
98,1,2
98,2,2
99,1,1
99,1,2
99,1,3
100,0,2
100,1,2
100,2,2
101,1,1
101,1,2
101,1,3
102,0,2
102,1,2
102,2,2
103,1,1
103,1,2
103,1,3
104,0,2
104,1,2
104,2,2
105,1,1
105,1,2
105,1,3
106,0,2
106,1,2
106,2,2
107,1,1
107,1,2
107,1,3
108,0,2
108,1,2
108,2,2
109,1,1
109,1,2
109,1,3
110,0,2
110,1,2
110,2,2
111,1,1
111,1,2
111,1,3
112,0,2
112,1,2
112,2,2
113,1,1
113,1,2
113,1,3
114,0,2
114,1,2
114,2,2
115,1,1
115,1,2
115,1,3
116,0,2
116,1,2
116,2,2
117,1,1
117,1,2
117,1,3
118,0,2
118,1,2
118,2,2
119,1,1
119,1,2
119,1,3
120,0,2
120,1,2
120,2,2
121,1,1
121,1,2
121,1,3
122,0,2
122,1,2
122,2,2
123,1,1
123,1,2
123,1,3
124,0,2
124,1,2
124,2,2
125,1,1
125,1,2
125,1,3
126,0,2
126,1,2
126,2,2
127,1,1
127,1,2
127,1,3
128,0,2
128,1,2
128,2,2
129,1,1
129,1,2
129,1,3
130,0,2
130,1,2
130,2,2
131,1,1
131,1,2
131,1,3
132,0,2
132,1,2
132,2,2
133,1,1
133,1,2
133,1,3
134,0,2
134,1,2
134,2,2
135,1,1
135,1,2
135,1,3
136,0,2
136,1,2
136,2,2
137,1,1
137,1,2
137,1,3
138,0,2
138,1,2
138,2,2
139,1,1
139,1,2
139,1,3
140,0,2
140,1,2
140,2,2
141,1,1
141,1,2
141,1,3
142,0,2
142,1,2
142,2,2
143,1,1
143,1,2
143,1,3
144,0,2
144,1,2
144,2,2
145,1,1
145,1,2
145,1,3
146,0,2
146,1,2
146,2,2
147,1,1
147,1,2
147,1,3
148,0,2
148,1,2
148,2,2
149,1,1
149,1,2
149,1,3
150,0,2
150,1,2
150,2,2
151,1,1
151,1,2
151,1,3
152,0,2
152,1,2
152,2,2
153,1,1
153,1,2
153,1,3
154,0,2
154,1,2
154,2,2
155,1,1
155,1,2
155,1,3
156,0,2
156,1,2
156,2,2
157,1,1
157,1,2
157,1,3
158,0,2
158,1,2
158,2,2
159,1,1
159,1,2
159,1,3
160,0,2
160,1,2
160,2,2
161,1,1
161,1,2
161,1,3
162,0,2
162,1,2
162,2,2
163,1,1
163,1,2
163,1,3
164,0,2
164,1,2
164,2,2
165,1,1
165,1,2
165,1,3
166,0,2
166,1,2
166,2,2
167,1,1
167,1,2
167,1,3
168,0,2
168,1,2
168,2,2
169,1,1
169,1,2
169,1,3
170,0,2
170,1,2
170,2,2
171,1,1
171,1,2
171,1,3
172,0,2
172,1,2
172,2,2
173,1,1
173,1,2
173,1,3
174,0,2
174,1,2
174,2,2
175,1,1
175,1,2
175,1,3
176,0,2
176,1,2
176,2,2
177,1,1
177,1,2
177,1,3
178,0,2
178,1,2
178,2,2
179,1,1
179,1,2
179,1,3
180,0,2
180,1,2
180,2,2
181,1,1
181,1,2
181,1,3
182,0,2
182,1,2
182,2,2
183,1,1
183,1,2
183,1,3
184,0,2
184,1,2
184,2,2
185,1,1
185,1,2
185,1,3
186,0,2
186,1,2
186,2,2
187,1,1
187,1,2
187,1,3
188,0,2
188,1,2
188,2,2
189,1,1
189,1,2
189,1,3
190,0,2
190,1,2
190,2,2
191,1,1
191,1,2
191,1,3
192,0,2
192,1,2
192,2,2
193,1,1
193,1,2
193,1,3
194,0,2
194,1,2
194,2,2
195,1,1
195,1,2
195,1,3
196,0,2
196,1,2
196,2,2
197,1,1
197,1,2
197,1,3
198,0,2
198,1,2
198,2,2
199,1,1
199,1,2
199,1,3
200,0,2
200,1,2
200,2,2
201,1,1
201,1,2
201,1,3
202,0,2
202,1,2
202,2,2
203,1,1
203,1,2
203,1,3
204,0,2
204,1,2
204,2,2
205,1,1
205,1,2
205,1,3
206,0,2
206,1,2
206,2,2
207,1,1
207,1,2
207,1,3
208,0,2
208,1,2
208,2,2
209,1,1
209,1,2
209,1,3
210,0,2
210,1,2
210,2,2
211,1,1
211,1,2
211,1,3
212,0,2
212,1,2
212,2,2
213,1,1
213,1,2
213,1,3
214,0,2
214,1,2
214,2,2
215,1,1
215,1,2
215,1,3
216,0,2
216,1,2
216,2,2
217,1,1
217,1,2
217,1,3
218,0,2
218,1,2
218,2,2
219,1,1
219,1,2
219,1,3
220,0,2
220,1,2
220,2,2
221,1,1
221,1,2
221,1,3
222,0,2
222,1,2
222,2,2
223,1,1
223,1,2
223,1,3
224,0,2
224,1,2
224,2,2
225,1,1
225,1,2
225,1,3
226,0,2
226,1,2
226,2,2
227,1,1
227,1,2
227,1,3
228,0,2
228,1,2
228,2,2
229,1,1
229,1,2
229,1,3
230,0,2
230,1,2
230,2,2
231,1,1
231,1,2
231,1,3
232,0,2
232,1,2
232,2,2
233,1,1
233,1,2
233,1,3
234,0,2
234,1,2
234,2,2
235,1,1
235,1,2
235,1,3
236,0,2
236,1,2
236,2,2
237,1,1
237,1,2
237,1,3
238,0,2
238,1,2
238,2,2
239,1,1
239,1,2
239,1,3
240,0,2
240,1,2
240,2,2
241,1,1
241,1,2
241,1,3
242,0,2
242,1,2
242,2,2
243,1,1
243,1,2
243,1,3
244,0,2
244,1,2
244,2,2
245,1,1
245,1,2
245,1,3
246,0,2
246,1,2
246,2,2
247,1,1
247,1,2
247,1,3
248,0,2
248,1,2
248,2,2
249,1,1
249,1,2
249,1,3
250,0,2
250,1,2
250,2,2
251,1,1
251,1,2
251,1,3
252,0,2
252,1,2
252,2,2
253,1,1
253,1,2
253,1,3
254,0,2
254,1,2
254,2,2
255,1,1
255,1,2
255,1,3
256,0,2
256,1,2
256,2,2
